GEOID,Total_Population,Median_Household_Income,Pct_White,Pct_Black,Pct_Hispanic,Pct_Poverty,Pct_Bachelors_Plus
060371096031,1038.0,72000.0,30.06,2.6,63.39,31.41,23.68
060371096032,1205.0,91635.0,20.91,2.66,78.01,3.9,29.81
060371096033,1795.0,81202.0,8.41,0.84,75.71,5.85,12.21
060371096041,863.0,62467.0,25.38,1.62,66.28,6.37,12.82
060371096042,789.0,105438.0,40.3,4.06,59.06,17.49,26.93
060371096043,1069.0,106536.0,25.63,1.96,83.35,9.54,29.89
060371097001,1587.0,156103.0,50.98,0.0,48.2,2.84,28.44
060371097002,1774.0,107500.0,36.13,6.03,37.88,7.57,34.41
060371097003,898.0,125556.0,41.87,0.45,14.14,5.9,38.48
060371098001,1464.0,136681.0,47.81,0.0,46.52,0.68,37.9
060371098002,800.0,75941.0,63.0,6.25,48.75,4.56,29.8
060371098003,1293.0,54024.0,35.96,1.01,54.22,29.0,23.11
060371098004,1068.0,67487.0,49.16,0.0,42.6,4.31,11.79
060371111001,1077.0,108450.0,45.13,1.49,42.06,8.47,20.42
060371111002,1888.0,116307.0,33.47,0.74,51.69,6.62,31.33
060371112011,1001.0,78056.0,47.55,3.9,46.35,15.28,28.22
060371112012,1768.0,180313.0,37.39,0.0,58.09,4.98,44.97
060371112013,506.0,140227.0,65.02,0.79,30.24,5.39,43.8
060371112021,1563.0,126267.0,23.99,0.13,46.77,4.61,23.52
060371112022,1565.0,105982.0,54.7,3.64,21.02,3.76,38.39
060371112023,2614.0,107022.0,43.38,2.3,26.55,14.27,31.11
060371112041,2626.0,233281.0,44.86,1.45,30.81,1.98,56.65
060371112042,2166.0,166250.0,39.84,1.66,17.22,0.0,51.97
060371112043,1110.0,143750.0,50.99,2.88,17.12,6.67,56.15
060371112051,1509.0,156250.0,19.81,3.38,40.23,5.24,60.3
060371112052,879.0,107200.0,36.18,3.87,21.96,23.21,49.25
060371112053,1239.0,79234.0,73.69,0.0,18.48,5.81,24.81
060371112061,1066.0,93611.0,52.06,7.41,32.18,14.35,42.28
060371112062,637.0,136932.0,73.31,0.0,15.86,3.14,55.92
060371112063,787.0,169861.0,49.68,0.0,20.08,0.0,42.44
060371112064,699.0,137098.0,71.1,0.0,19.6,5.01,38.56
060371112065,1106.0,198958.0,42.68,12.57,17.18,5.24,55.32
060371113021,1435.0,140438.0,42.23,3.0,35.12,11.29,35.1
060371113022,1113.0,63409.0,43.04,1.26,29.02,4.23,55.64
060371113023,1354.0,188021.0,53.25,13.07,17.95,6.86,39.29
060371113031,1874.0,126250.0,49.31,2.77,37.35,3.27,45.3
060371113032,2693.0,96250.0,58.34,2.67,23.88,7.07,31.32
060371113041,1096.0,43558.0,16.97,0.0,55.11,31.66,29.13
060371113042,1986.0,76528.0,8.96,18.13,46.12,22.46,43.24
060371114011,2193.0,127115.0,47.1,1.5,39.67,3.92,39.5
060371114022,2036.0,86875.0,51.67,0.2,40.28,9.72,35.45
060371114023,1787.0,59345.0,38.5,0.78,39.73,7.36,26.35
060371131011,1581.0,131250.0,72.49,5.31,12.14,4.43,64.6
060371131012,1959.0,126048.0,62.38,1.84,18.43,17.89,41.99
060371131021,1768.0,234750.0,41.69,0.0,15.5,2.96,52.43
060371131022,1212.0,206389.0,70.54,4.79,30.69,4.29,51.05
060371132111,1873.0,134375.0,54.51,10.73,22.96,6.9,50.85
060371132112,2265.0,97372.0,47.02,13.91,10.11,7.89,48.64
060371132121,869.0,88807.0,34.52,3.45,55.47,5.98,20.98
060371132122,2003.0,89219.0,44.38,3.64,14.08,2.44,40.73
060371132131,3483.0,143322.0,46.94,2.96,32.53,5.37,47.06
060371132132,1585.0,100000.0,31.86,2.84,34.7,5.68,37.39
060371132311,1062.0,192583.0,60.64,0.56,19.68,1.61,54.15
060371132312,1171.0,125994.0,66.87,7.26,8.71,7.51,60.25
060371132321,3107.0,166000.0,63.05,1.35,16.54,4.22,49.65
060371132322,1670.0,107596.0,45.03,11.92,24.01,16.89,35.13
060371132341,1177.0,66696.0,37.47,13.76,41.46,10.54,17.76
060371132342,1080.0,85625.0,23.98,4.91,43.52,5.09,23.98
060371132343,2386.0,109712.0,17.27,2.39,79.21,22.09,16.43
060371132351,1690.0,89744.0,51.01,3.25,31.3,13.14,24.69
060371132371,2953.0,127463.0,50.08,6.81,26.18,6.26,42.34
060371132372,1812.0,184276.0,33.66,14.46,28.59,3.86,45.7
060371132381,1165.0,51303.0,22.83,6.52,68.93,7.12,11.09
060371132382,2801.0,75304.0,20.89,3.46,56.02,15.57,26.64
060371132383,630.0,133802.0,69.52,0.0,18.73,0.0,26.46
060371132391,888.0,48894.0,49.77,1.91,34.23,5.18,11.71
060371132392,1246.0,50941.0,14.04,7.46,73.84,13.4,34.06
060371133011,477.0,176538.0,86.37,1.89,23.69,13.21,50.88
060371133012,3778.0,116055.0,55.37,1.59,15.75,11.18,47.09
060371133031,2414.0,114896.0,35.71,3.69,34.63,5.76,49.4
060371133032,1385.0,82159.0,38.56,5.42,43.47,10.35,37.59
060371133221,2017.0,136827.0,59.94,3.62,16.46,5.34,56.7
060371133222,2744.0,117637.0,49.71,20.15,31.89,17.52,37.97
060371133231,2104.0,77614.0,35.17,2.71,45.25,7.98,42.89
060371133232,1800.0,112778.0,33.28,3.06,51.22,11.83,33.38
060371133241,2837.0,100960.0,39.44,10.01,54.56,5.46,38.81
