time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index,latitude,longitude
1677254400,60.0,58.0,1003.64,1.7,1.7,3.3,1680,34.09655,-117.97032
1685588400,59.0,71.0,999.22,5.6,5.6,8.4,1680,34.09655,-117.97032
1685610000,58.0,71.0,999.09,12.7,12.7,18.2,1680,34.09655,-117.97032
1674489600,18.0,68.0,1002.39,0.2,0.2,0.4,1680,34.09655,-117.97032
1684728000,52.0,75.0,1001.6,7.5,7.5,10.9,1680,34.09655,-117.97032
1684782000,40.0,87.0,1000.48,19.6,19.6,27.3,1680,34.09655,-117.97032
1685804400,52.0,72.0,1000.58,13.8,13.8,19.5,1680,34.09655,-117.97032
1685772000,47.0,72.0,1001.25,5.9,5.9,8.7,1680,34.09655,-117.97032
1685786400,52.0,69.0,999.67,8.9,8.9,12.8,1680,34.09655,-117.97032
1679760000,42.0,65.0,1006.72,2.7,2.7,4.3,1680,34.09655,-117.97032
1679742000,52.0,57.0,1006.45,3.9,3.9,5.9,1680,34.09655,-117.97032
1685314800,41.0,80.0,999.36,11.1,11.1,16.0,1680,34.09655,-117.97032
1685278800,52.0,72.0,999.65,11.1,11.1,15.7,1680,34.09655,-117.97032
1673485200,45.0,69.0,1009.6,4.1,4.1,6.0,1680,34.09655,-117.97032
1678694400,60.0,68.0,1007.33,13.4,13.4,18.6,1680,34.09655,-117.97032
1678726800,54.0,70.0,1007.77,13.5,13.5,18.4,1680,34.09655,-117.97032
1673265600,49.0,67.0,1006.57,13.3,13.3,18.9,1680,34.09655,-117.97032
1673269200,54.0,67.0,1007.59,12.3,12.3,17.5,1680,34.09655,-117.97032
1673294400,54.0,67.0,1006.36,0.4,0.4,0.8,1680,34.09655,-117.97032
1675825200,28.0,68.0,1008.94,2.5,2.5,3.8,1680,34.09655,-117.97032
1674928800,34.0,71.0,1003.25,9.2,9.2,13.0,1680,34.09655,-117.97032
1674709200,33.0,63.0,1010.54,9.4,9.4,12.8,1680,34.09655,-117.97032
1686967200,43.0,82.0,1000.52,9.6,9.6,13.7,1680,34.09655,-117.97032
1686970800,47.0,79.0,1001.05,10.8,10.8,15.2,1680,34.09655,-117.97032
1686988800,56.0,74.0,1001.92,9.1,9.1,12.9,1680,34.09655,-117.97032
1673748000,68.0,62.0,997.34,2.1,2.1,3.1,1680,34.09655,-117.97032
1681963200,32.0,70.0,1004.02,4.4,4.4,6.5,1680,34.09655,-117.97032
1676206800,47.0,57.0,999.05,3.5,3.5,5.3,1680,34.09655,-117.97032
1684623600,35.0,90.0,1002.43,14.1,14.1,19.8,1680,34.09655,-117.97032
1684540800,41.0,84.0,1002.54,17.9,17.9,24.9,1680,34.09655,-117.97032
1683576000,31.0,88.0,1002.74,13.0,13.0,18.8,1680,34.09655,-117.97032
1684227600,56.0,72.0,1002.98,18.7,18.7,25.7,1680,34.09655,-117.97032
1684245600,56.0,73.0,1003.02,23.3,23.9,32.1,1680,34.09655,-117.97032
1684209600,50.0,76.0,1004.42,12.8,12.8,18.0,1680,34.09655,-117.97032
1682870400,50.0,75.0,999.69,29.5,32.4,43.5,1680,34.09655,-117.97032
1682830800,51.0,72.0,1002.19,14.3,14.3,20.2,1680,34.09655,-117.97032
1682892000,36.0,87.0,997.88,15.0,15.0,21.4,1680,34.09655,-117.97032
1679940000,15.0,80.0,1007.36,2.1,2.1,3.3,1680,34.09655,-117.97032
1679882400,16.0,70.0,1003.5,2.9,2.9,4.5,1680,34.09655,-117.97032
1679947200,12.0,82.0,1006.43,1.0,1.0,1.8,1680,34.09655,-117.97032
1673211600,31.0,76.0,1006.83,9.8,9.8,14.4,1680,34.09655,-117.97032
1678086000,57.0,63.0,1006.62,6.2,6.2,8.6,1680,34.09655,-117.97032
1678075200,50.0,64.0,1006.19,2.8,2.8,4.2,1680,34.09655,-117.97032
1687251600,54.0,73.0,1001.39,4.0,4.0,6.0,1680,34.09655,-117.97032
1687233600,49.0,76.0,1000.97,4.4,4.5,6.7,1680,34.09655,-117.97032
1687302000,29.0,92.0,1001.21,5.1,5.1,7.8,1680,34.09655,-117.97032
1680030000,16.0,85.0,1004.07,5.8,5.8,8.5,1680,34.09655,-117.97032
1684990800,48.0,72.0,999.27,4.6,5.6,10.3,1680,34.09655,-117.97032
1685044800,35.0,81.0,998.44,3.1,3.1,4.9,1680,34.09655,-117.97032
1682287200,30.0,91.0,995.12,7.1,7.1,10.4,1680,34.09655,-117.97032
1687478400,31.0,86.0,999.9,4.4,4.4,6.7,1680,34.09655,-117.97032
1673632800,35.0,73.0,1008.52,6.4,6.4,9.2,1680,34.09655,-117.97032
1673600400,45.0,62.0,1007.09,4.0,4.0,6.6,1680,34.09655,-117.97032
1685386800,51.0,75.0,1002.6,8.2,8.2,11.9,1680,34.09655,-117.97032
1675908000,23.0,74.0,1008.5,3.0,3.0,4.6,1680,34.09655,-117.97032
1675958400,30.0,68.0,1009.12,3.9,3.9,5.6,1680,34.09655,-117.97032
1675965600,20.0,83.0,1009.27,2.1,2.1,3.3,1680,34.09655,-117.97032
1681246800,31.0,89.0,1000.97,21.1,21.3,29.3,1680,34.09655,-117.97032
1674835200,28.0,65.0,1009.16,2.1,2.1,3.4,1680,34.09655,-117.97032
1674849600,15.0,83.0,1004.31,1.9,1.9,3.0,1680,34.09655,-117.97032
1680066000,40.0,67.0,1003.02,3.0,3.0,4.6,1680,34.09655,-117.97032
1673082000,54.0,58.0,1007.68,16.1,17.0,28.8,1680,34.09655,-117.97032
1673053200,45.0,69.0,1007.97,6.1,6.2,9.1,1680,34.09655,-117.97032
1680134400,35.0,69.0,998.47,0.8,0.8,1.4,1680,34.09655,-117.97032
1685545200,49.0,72.0,999.18,2.7,2.7,4.3,1680,34.09655,-117.97032
1677758400,43.0,52.0,1001.86,1.3,1.3,2.3,1680,34.09655,-117.97032
1674558000,40.0,53.0,1009.49,2.5,2.5,3.9,1680,34.09655,-117.97032
1674583200,22.0,73.0,1013.02,2.4,2.4,3.7,1680,34.09655,-117.97032
1675144800,54.0,61.0,1001.33,9.1,9.1,12.7,1680,34.09655,-117.97032
1684418400,57.0,71.0,997.86,22.0,22.2,30.0,1680,34.09655,-117.97032
1676628000,28.0,57.0,1006.46,2.5,2.5,4.4,1680,34.09655,-117.97032
1676646000,23.0,57.0,1004.46,4.6,4.7,7.6,1680,34.09655,-117.97032
1676599200,18.0,67.0,1007.14,1.5,1.5,2.5,1680,34.09655,-117.97032
1676624400,26.0,58.0,1007.09,3.3,3.4,6.5,1680,34.09655,-117.97032
1677664800,64.0,57.0,995.88,6.8,6.9,13.7,1680,34.09655,-117.97032
1687946400,,,,6.4,6.4,9.9,1680,34.09655,-117.97032
1687921200,,,,7.0,7.0,10.2,1680,34.09655,-117.97032
1679025600,54.0,64.0,1004.82,5.1,5.1,7.5,1680,34.09655,-117.97032
1679083200,31.0,82.0,1002.72,11.3,11.3,15.7,1680,34.09655,-117.97032
1681354800,55.0,68.0,995.86,4.3,4.3,6.5,1680,34.09655,-117.97032
1681369200,62.0,66.0,996.04,2.7,2.7,4.1,1680,34.09655,-117.97032
1678870800,68.0,66.0,1001.27,0.5,0.5,0.9,1680,34.09655,-117.97032
